pre,g,post
17.20399463387063,0.4685200696416451,55.995584834059585
18.63918454808973,0.4397429524153257,54.4170297458312
18.39811731484697,0.3820706812759765,49.5758042257657
19.65527612639913,0.4026039574069156,52.00237991467674
22.28772123366497,0.3920816677675857,52.75728109838914
21.97535530177668,0.4512503944014291,57.18400699488133
20.69070756183874,0.5118996869757866,61.2891095352046
18.596623242785576,0.5171313226237739,60.692859131285246
19.061301899255685,0.549015415137297,63.49789483770818
18.28507448795912,0.603614192549615,67.60936327016161
22.62090248126735,0.5286648688771305,63.52851292483884
22.694312220655966,0.482385407941599,59.985447956300725
23.09724861023151,0.4505342295041777,57.74457045437219
23.05121430241453,0.4118374907216354,54.741609118184996
23.184981647565152,0.3830110023811631,52.60597882465866
24.233192824277424,0.4194695839887774,56.015063910435686
23.486020597401826,0.4452379006721281,57.55294415868509
24.505630576949702,0.5257014670598196,64.19313133740323
24.53859005177725,0.6273719131703972,71.88095918152939
25.694577803201064,0.7662625045114982,82.6320367145045
25.629998115952887,0.607686458241117,70.82364116025468
25.07302385022052,0.4908216261369543,61.848804125580074
25.521699455896268,0.4878037458488539,61.8524934457668
25.27872547617588,0.3663984736948433,52.656486414238415
26.08453015723849,0.3004199382123343,48.290211040336565
28.897230904728502,0.3149424230661846,51.290509290308734
27.794019171881843,0.4400902526666076,59.571167518568586
26.404659271214257,0.50073557285247,63.2564643703155
27.169718595999008,0.5728435037828488,68.89007217695779
27.288390864868425,0.5394640907429729,66.51369297341061
29.414004598890912,0.5881031504445668,70.92585087154887
29.470934600865757,0.4909884664537465,64.09989226160268
28.84270703521352,0.4924820845278872,63.88639900387313
28.91725174274358,0.4841389337201304,63.33117768990816
30.93440792116965,0.407584197611573,59.08445185118793
32.29734576350442,0.4637815776511153,63.696589556474294
