traditional,,interactive,
X,Y,X,Y
36.774193548387096,16.393442622950815,31.774193548387096,42.131147540983605
43.548387096774185,14.426229508196712,39.51612903225806,39.18032786885246
51.4516129032258,12.622950819672113,36.61290322580645,36.22950819672131
51.61290322580645,11.147540983606547,41.61290322580645,35.24590163934426
47.58064516129032,7.377049180327873,35.64516129032258,32.295081967213115
43.70967741935483,10.32786885245902,33.70967741935483,29.34426229508197
69.35483870967741,8.360655737704917,43.548387096774185,30.327868852459012
,,47.58064516129032,27.377049180327866
,,45.48387096774193,26.229508196721305
,,54.19354838709677,26.065573770491795
,,58.387096774193544,25.40983606557377
,,66.12903225806451,20.983606557377044
,,70.16129032258064,17.213114754098356
,,69.19354838709677,16.229508196721298
,,70.32258064516128,14.26229508196721
,,47.58064516129032,22.295081967213108
,,46.61290322580645,20.327868852459005
,,44.677419354838705,20.327868852459005
,,30.806451612903224,16.229508196721298
,,37.74193548387097,13.114754098360649
,,38.70967741935484,14.26229508196721
,,39.83870967741935,14.098360655737707
,,42.58064516129031,15.245901639344254
,,43.548387096774185,14.426229508196712
,,41.61290322580645,25.245901639344254
